conference,title,abstract,keywords
IEEE Security and Privacy 2014,Hunting the Red Fox Online: Understanding and Detection of Mass Redirect-Script Injections,"Compromised websites that redirect web traffic to malicious hosts play a critical role in organized web crimes, serving as doorways to all kinds of malicious web activities (e.g., drive-by downloads, phishing etc.). They are also among the most elusive components of a malicious web infrastructure and extremely difficult to hunt down, due to the simplicity of redirect operations, which also happen on legitimate sites, and extensive use of cloaking techniques. Making the detection even more challenging is the recent trend of injecting redirect scripts into JavaScript (JS) files, as those files are not indexed by search engines and their infections are therefore more difficult to catch. In our research, we look at the problem from a unique angle: the adversary's strategy and constraints for deploying redirect scripts quickly and stealthily. Specifically, we found that such scripts are often blindly injected into both JS and HTML files for a rapid deployment, changes to the infected JS files are often made minimum to evade detection and also many JS files are actually JS libraries (JS-libs) whose uninfected versions are publicly available. Based upon those observations, we developed JsRED, a new technique for the automatic detection of unknown redirect-script injections. Our approach analyzes the difference between a suspicious JS-lib file and its clean counterpart to identify malicious redirect scripts and further searches for similar scripts in other JS and HTML files. This simple, lightweight approach is found to work effectively against redirect injection campaigns: our evaluation shows that JsRED captured most of compromised websites with almost no false positives, significantly outperforming a commercial detection service in terms of finding unknown JS infections. Based upon the compromised websites reported by JsRED, we further conducted a measurement study that reveals interesting features of redirect payloads and a new Peer-to-Peer network the adversary constructed to evade detection.","authoring languages, hypermedia markup languages, Internet, Java, peer-to-peer computing, security of data, Web sites, redirect-script injection detection, Web sites, malicious Web infrastructure, JavaScript, JS files, HTML files, JsRED, peer-to-peer network, HTML, Libraries, Servers, Feeds, Security, Payloads, Browsers, Compromised Web Sites, Web Redirection, Differential Analysis,"
IEEE Security and Privacy 2014,Stealing Webpages Rendered on Your Browser by Exploiting GPU Vulnerabilities,"Graphics processing units (GPUs) are important components of modern computing devices for not only graphics rendering, but also efficient parallel computations. However, their security problems are ignored despite their importance and popularity. In this paper, we first perform an in-depth security analysis on GPUs to detect security vulnerabilities. We observe that contemporary, widely-used GPUs, both NVIDIA's and AMD's, do not initialize newly allocated GPU memory pages which may contain sensitive user data. By exploiting such vulnerabilities, we propose attack methods for revealing a victim program's data kept in GPU memory both during its execution and right after its termination. We further show the high applicability of the proposed attacks by applying them to the Chromium and Firefox web browsers which use GPUs for accelerating webpage rendering. We detect that both browsers leave rendered webpage textures in GPU memory, so that we can infer which web pages a victim user has visited by analyzing the remaining textures. The accuracy of our advanced inference attack that uses both pixel sequence matching and RGB histogram matching is up to 95.4%.","graphics processing units, image matching, image texture, rendering (computer graphics), Web page, GPU vulnerability, graphics processing unit, NVIDIA GPU, AMD GPU, GPU memory pages, rendering, pixel sequence matching, RGB histogram matching, red-green-blue histogram matching, Graphics processing units, Security, Kernel, Context, Browsers, Memory management, Chromium,"
IEEE Security and Privacy 2014,All Your Screens Are Belong to Us: Attacks Exploiting the HTML5 Screen Sharing API,"HTML5 changes many aspects in the browser world by introducing numerous new concepts, in particular, the new HTML5 screen sharing API impacts the security implications of browsers tremendously. One of the core assumptions on which browser security is built is that there is no cross-origin feedback loop from the client to the server. However, the screen sharing API allows creating a cross-origin feedback loop. Consequently, websites will potentially be able to see all visible content from the user's screen, irrespective of its origin. This cross-origin feedback loop, when combined with human vision limitations, can introduce new vulnerabilities. An attacker can capture sensitive information from victim's screen using the new API without the consensus of the victim. We investigate the security implications of the screen sharing API and discuss how existing defenses against traditional web attacks fail during screen sharing. We show that several attacks are possible with the help of the screen sharing API: cross-site request forgery, history sniffing, and information stealing. We discuss how popular websites such as Amazon and Wells Fargo can be attacked using this API and demonstrate the consequences of the attacks such as economic losses, compromised account and information disclosure. The objective of this paper is to present the attacks using the screen sharing API, analyze the fundamental cause and motivate potential defenses to design a more secure screen sharing API.","application program interfaces, hypermedia markup languages, security of data, Web sites, HTML5 screen sharing API, Web attacks, history sniffing, information stealing, Web sites, Browsers, Security, Receivers, Servers, History, Feedback loop, Google, HTML5, Browser Security, Screen Sharing,"
IEEE Security and Privacy 2014,Chip and Skim: Cloning EMV Cards with the Pre-play Attack,"EMV, also known as ""Chip and PIN"", is the leading system for card payments worldwide. It is used throughout Europe and much of Asia, and is starting to be introduced in North America too. Payment cards contain a chip so they can execute an authentication protocol. This protocol requires point-of-sale (POS) terminals or ATMs to generate a nonce, called the unpredictable number, for each transaction to ensure it is fresh. We have discovered two serious problems: a widespread implementation flaw and a deeper, more difficult to fix flaw with the EMV protocol itself. The first flaw is that some EMV implementers have merely used counters, timestamps or home-grown algorithms to supply this nonce. This exposes them to a ""pre-play"" attack which is indistinguishable from card cloning from the standpoint of the logs available to the card-issuing bank, and can be carried out even if it is impossible to clone a card physically. Card cloning is the very type of fraud that EMV was supposed to prevent. We describe how we detected the vulnerability, a survey methodology we developed to chart the scope of the weakness, evidence from ATM and terminal experiments in the field, and our implementation of proof-of-concept attacks. We found flaws in widely-used ATMs from the largest manufacturers. We can now explain at least some of the increasing number of frauds in which victims are refused refunds by banks which claim that EMV cards cannot be cloned and that a customer involved in a dispute must therefore be mistaken or complicit. The second problem was exposed by the above work. Independent of the random number quality, there is a protocol failure: the actual random number generated by the terminal can simply be replaced by one the attacker used earlier when capturing an authentication code from the card. This variant of the pre-play attack may be carried out by malware in an ATM or POS terminal, or by a man-in-the-middle between the terminal and the acquirer. We explore the design and implementation mistakes that enabled these flaws to evade detection until now: shortcomings of the EMV specification, of the EMV kernel certification process, of implementation testing, formal analysis, and monitoring customer complaints. Finally we discuss countermeasures. More than a year after our initial responsible disclosure of these flaws to the banks, action has only been taken to mitigate the first of them, while we have seen a likely case of the second in the wild, and the spread of ATM and POS malware is making it ever more of a threat.","financial data processing, invasive software, EMV card cloning, preplay attack, card payments, Europe, Asia, North America, point-of-sale terminals, POS terminals, unpredictable number, automated teller machines, home-grown algorithms, counters, timestamps, proof-of-concept attacks, man-in-the-middle attack, POS malware, ATM malware, Online banking, Protocols, Cryptography, Authentication, Radiation detectors, Cloning, Authorization,"
IEEE Security and Privacy 2014,When HTTPS Meets CDN: A Case of Authentication in Delegated Service,"Content Delivery Network (CDN) and Hypertext Transfer Protocol Secure (HTTPS) are two popular but independent web technologies, each of which has been well studied individually and independently. This paper provides a systematic study on how these two work together. We examined 20 popular CDN providers and 10,721 of their customer web sites using HTTPS. Our study reveals various problems with the current HTTPS practice adopted by CDN providers, such as widespread use of invalid certificates, private key sharing, neglected revocation of stale certificates, and insecure back-end communication. While some of those problems are operational issues only, others are rooted in the fundamental semantic conflict between the end-to-end nature of HTTPS and the man-in-the-middle nature of CDN involving multiple parties in a delegated service. To address the delegation problem when HTTPS meets CDN, we proposed and implemented a lightweight solution based on DANE (DNS-based Authentication of Named Entities), an emerging IETF protocol complementing the current Web PKI model. Our implementation demonstrates that it is feasible for HTTPS to work with CDN securely and efficiently. This paper intends to provide a context for future discussion within security and CDN community on more preferable solutions.","computer network security, Internet, protocols, HTTPS, hypertext transfer protocol secure, CDN, content delivery network, delegated service authentication, Web technology, stale certificates, DANE protocol, DNS-based authentication of named entities, domain name system, Servers, Authentication, Browsers, Uniform resource locators, Protocols,"
IEEE Security and Privacy 2014,Analyzing Forged SSL Certificates in the Wild,"The SSL man-in-the-middle attack uses forged SSL certificates to intercept encrypted connections between clients and servers. However, due to a lack of reliable indicators, it is still unclear how commonplace these attacks occur in the wild. In this work, we have designed and implemented a method to detect the occurrence of SSL man-in-the-middle attack on a top global website, Facebook. Over 3 million real-world SSL connections to this website were analyzed. Our results indicate that 0.2% of the SSL connections analyzed were tampered with forged SSL certificates, most of them related to antivirus software and corporate-scale content filters. We have also identified some SSL connections intercepted by malware. Limitations of the method and possible defenses to such attacks are also discussed.","certification, security of data, forged SSL certificate analysis, SSL man-in-the-middle attack, encrypted connections, global Web site, Facebook, antivirus software, corporate-scale content filters, secure socket layer, Servers, Browsers, Sockets, Cryptography, Java, Protocols, SSL, certificates, man-in-the-middle attack,"
IEEE Security and Privacy 2014,Triple Handshakes and Cookie Cutters: Breaking and Fixing Authentication over TLS,"TLS was designed as a transparent channel abstraction to allow developers with no cryptographic expertise to protect their application against attackers that may control some clients, some servers, and may have the capability to tamper with network connections. However, the security guarantees of TLS fall short of those of a secure channel, leading to a variety of attacks. We show how some widespread false beliefs about these guarantees can be exploited to attack popular applications and defeat several standard authentication methods that rely too naively on TLS. We present new client impersonation attacks against TLS renegotiations, wireless networks, challenge-response protocols, and channel-bound cookies. Our attacks exploit combinations of RSA and Diffie-Hellman key exchange, session resumption, and renegotiation to bypass many recent countermeasures. We also demonstrate new ways to exploit known weaknesses of HTTP over TLS. We investigate the root causes for these attacks and propose new countermeasures. At the protocol level, we design and implement two new TLS extensions that strengthen the authentication guarantees of the handshake. At the application level, we develop an exemplary HTTPS client library that implements several mitigations, on top of a previously verified TLS implementation, and verify that their composition provides strong, simple application security.","authorisation, client-server systems, computer network security, cryptographic protocols, data protection, public key cryptography, transport protocols, triple-handshakes, cookie cutters, authentication, transparent channel abstraction, application protection, network connections, TLS security guarantees, secure channel, client impersonation attacks, TLS renegotiations, wireless networks, challenge-response protocols, channel-bound cookies, RSA, Diffie-Hellman key exchange, session resumption, HTTPS client library, TLS implementation, application security, Protocols, Servers, Authentication, Browsers, Libraries, Cryptography,"
IEEE Security and Privacy 2014,Using Frankencerts for Automated Adversarial Testing of Certificate Validation in SSL/TLS Implementations,"Modern network security rests on the Secure Sockets Layer (SSL) and Transport Layer Security (TLS) protocols. Distributed systems, mobile and desktop applications, embedded devices, and all of secure Web rely on SSL/TLS for protection against network attacks. This protection critically depends on whether SSL/TLS clients correctly validate X.509 certificates presented by servers during the SSL/TLS handshake protocol. We design, implement, and apply the first methodology for large-scale testing of certificate validation logic in SSL/TLS implementations. Our first ingredient is ""frankencerts,"" synthetic certificates that are randomly mutated from parts of real certificates and thus include unusual combinations of extensions and constraints. Our second ingredient is differential testing: if one SSL/TLS implementation accepts a certificate while another rejects the same certificate, we use the discrepancy as an oracle for finding flaws in individual implementations. Differential testing with frankencerts uncovered 208 discrepancies between popular SSL/TLS implementations such as OpenSSL, NSS, CyaSSL, GnuTLS, PolarSSL, MatrixSSL, etc. Many of them are caused by serious security vulnerabilities. For example, any server with a valid X.509 version1 certificate can act as a rogue certificate authority and issue fake certificates for any domain, enabling man-in-the-middle attacks against MatrixSSL and GnuTLS. Several implementations also accept certificate authorities created by unauthorized issuers, as well as certificates not intended for server authentication. We also found serious vulnerabilities in how users are warned about certificate validation errors. When presented with an expired, self-signed certificate, NSS, Safari, and Chrome (on Linux) report that the certificate has expired - a low-risk, often ignored error - but not that the connection is insecure against a man-in-the-middle attack. These results demonstrate that automated adversarial testing with frankencerts is a powerful methodology for discovering security flaws in SSL/TLS implementations.","authorisation, computer network security, online front-ends, protocols, Frankencerts, automated adversarial testing, SSL-TLS implementations, modern network security, secure sockets layer protocols, transport layer security protocols, network attacks, SSL-TLS clients, X.509 certificates, SSL-TLS handshake protocol, certificate validation logic, synthetic certificates, differential testing, oracle, OpenSSL, NSS, CyaSSL, GnuTLS, PolarSSL, MatrixSSL, security vulnerabilities, man-in-the-middle attacks, server authentication, certificate validation errors, self-signed certificate, NSS, Safari, Chrome, Testing, Servers, Protocols, Browsers, Authentication, Computer bugs, SSL, certificate validation, automated testing,"
IEEE Security and Privacy 2014,Automating Isolation and Least Privilege in Web Services,"In many client-facing applications, a vulnerability in any part can compromise the entire application. This paper describes the design and implementation of Passe, a system that protects a data store from unintended data leaks and unauthorized writes even in the face of application compromise. Passe automatically splits (previously shared-memory-space) applications into sandboxed processes. Passe limits communication between those components and the types of accesses each component can make to shared storage, such as a backend database. In order to limit components to their least privilege, Passe uses dynamic analysis on developer-supplied end-to-end test cases to learn data and control-flow relationships between database queries and previous query results, and it then strongly enforces those relationships. Our prototype of Passe acts as a drop-in replacement for the Django web framework. By running eleven unmodified, off-the-shelf applications in Passe, we demonstrate its ability to provide strong security guarantees-Passe correctly enforced 96% of the applications' policies-with little additional overhead. Additionally, in the web-specific setting of the prototype, we also mitigate the cross-component effects of cross-site scripting (XSS) attacks by combining browser HTML5 sandboxing techniques with our automatic component separation.","security of data, Web services, Web services, client-facing applications, Passe system, shared-memory-space application, sandboxed process, control-flow relationship, data-flow relationship, database queries, query results, Django web framework, security guarantee, cross-site scripting attack, XSS attack, HTML5 sandboxing techniques, Databases, Security, Runtime, Prototypes, Browsers, Libraries, Servers, security policy inference, isolation, capabilities, principle of least privilege, web security,"
IEEE Security and Privacy 2014,Hidden GEMs: Automated Discovery of Access Control Vulnerabilities in Graphical User Interfaces,"Graphical user interfaces (GUIs) are the predominant means by which users interact with modern programs. GUIs contain a number of common visual elements or widgets such as labels, text fields, buttons, and lists, and GUIs typically provide the ability to set attributes on these widgets to control their visibility, enabled status, and whether they are writable. While these attributes are extremely useful to provide visual cues to users to guide them through an application's GUI, they can also be misused for purposes they were not intended. In particular, in the context of GUI-based applications that include multiple privilege levels within the application, GUI element attributes are often misused as a mechanism for enforcing access control policies. In this work, we introduce GEMs, or instances of GUI element misuse, as a novel class of access control vulnerabilities in GUI-based applications. We present a classification of different GEMs that can arise through misuse of widget attributes, and describe a general algorithm for identifying and confirming the presence of GEMs in vulnerable applications. We then present GEM Miner, an implementation of our GEM analysis for the Windows platform. We evaluate GEM Miner over a test set of three complex, real-world GUI-based applications targeted at the small business and enterprise markets, and demonstrate the efficacy of our analysis by finding numerous previously unknown access control vulnerabilities in these applications. We have reported the vulnerabilities we discovered to the developers of each application, and in one case have received confirmation of the issue.","authorisation, graphical user interfaces, pattern classification, automated discovery, graphical user interfaces, visual elements, labels, text fields, buttons, lists, visual cues, GUI element attributes, access control policies, GEM classification, GUI element misuse, access control vulnerabilities, widget attributes, GEM Miner, GEM analysis, Windows platform, real-world GUI-based applications, business, enterprise markets, Security, Privacy, Licenses, GUI, widget, access control, automation, vulnerability analysis,"
