conference,title,abstract,keywords
IEEE Security and Privacy 2012,A Framework to Eliminate Backdoors from Response-Computable Authentication,"Response-computable authentication (RCA) is a two-party authentication model widely adopted by authentication systems, where an authentication system independently computes the expected user response and authenticates a user if the actual user response matches the expected value. Such authentication systems have long been threatened by malicious developers who can plant backdoors to bypass normal authentication, which is often seen in insider-related incidents. A malicious developer can plant backdoors by hiding logic in source code, by planting delicate vulnerabilities, or even by using weak cryptographic algorithms. Because of the common usage of cryptographic techniques and code protection in authentication modules, it is very difficult to detect and eliminate backdoors from login systems. In this paper, we propose a framework for RCA systems to ensure that the authentication process is not affected by backdoors. Our approach decomposes the authentication module into components. Components with simple logic are verified by code analysis for correctness, components with cryptographic/ obfuscated logic are sand boxed and verified through testing. The key component of our approach is NaPu, a native sandbox to ensure pure functions, which protects the complex and backdoor-prone part of a login module. We also use a testing-based process to either detect backdoors in the sand boxed component or verify that the component has no backdoors that can be used practically. We demonstrated the effectiveness of our approach in real-world applications by porting and verifying several popular login modules into this framework.","authorisation, cryptography, message authentication, response-computable authentication, RCA, two-party authentication model, source code, cryptographic technique, code protection, login system, obfuscated logic, NaPu, backdoor-prone part, testing-based process, Authentication, Cryptography, Servers, Testing, Databases, Upper bound,"
IEEE Security and Privacy 2012,Safe Loading - A Foundation for Secure Execution of Untrusted Programs,"The standard loader (ld.so) is a common target of attacks. The loader is a trusted component of the application, and faults in the loader are problematic, e.g., they may lead to local privilege escalation for SUID binaries. Software-based fault isolation (SFI) provides a framework to execute arbitrary code while protecting the host system. A problem of current approaches to SFI is that fault isolation is decoupled from the dynamic loader, which is treated as a black box. The sandbox has no information about the (expected) execution behavior of the application and the connections between different shared objects. As a consequence, SFI is limited in its ability to identify devious application behavior. This paper presents a new approach to run untrusted code in a user-space sandbox. The approach replaces the standard loader with a security-aware trusted loader. The secure loader and the sandbox together cooperate to allow controlled execution of untrusted programs. A secure loader makes security a first class concept and ensures that the SFI system does not allow any unchecked code to be executed. The user-space sandbox builds on the secure loader and subsequently dynamically checks for malicious code and ensures that all control flow instructions of the application adhere to an execution model. The combination of the secure loader and the user-space sandbox enables the safe execution of untrusted code in user-space. Code injection attacks are stopped before any unintended code is executed. Furthermore, additional information provided by the loader can be used to support additional security properties, e.g., in lining of Procedure Linkage Table calls reduces the number of indirect control flow transfers and therefore limits jump-oriented attacks. This approach implements a secure platform for privileged applications and applications reachable over the network that anticipates and confines security threats from the beginning.","fault diagnosis, program diagnostics, software fault tolerance, trusted computing, safe loading, secure execution, untrusted programs, standard loader, trusted component, problematic loader, local privilege escalation, SUID binaries, software-based fault isolation, host system, dynamic loader, untrusted code, user-space sandbox, security-aware trusted loader, SFI system, unchecked code, control flow instructions, code injection attacks, security properties, procedure linkage table calls, indirect control flow transfers, jump-oriented attacks, Standards, Libraries, Security, Loading, Load modeling, Runtime environment, secure loading, sandboxing, software-based fault isolation, process creation,"
IEEE Security and Privacy 2012,Flash Memory for Ubiquitous Hardware Security Functions: True Random Number Generation and Device Fingerprints,"We demonstrate that unmodified commercial Flash memory can provide two important security functions: true random number generation and digital fingerprinting. Taking advantage of random telegraph noise (a type of quantum noise source in highly scaled Flash memory cells) enables high quality true random number generation at a rate up to 10Kbits / second. A scheme based on partial programming exploits process variation in threshold voltages to allow quick generation of many unique fingerprints that can be used for identification and authentication. Both schemes require no change to Flash chips or interfaces, and do not require additional hardware.","flash memories, random number generation, security of data, ubiquitous computing, ubiquitous hardware security functions, true random number generation, device fingerprints, digital fingerprinting, random telegraph noise, quantum noise source, flash memory cells, flash chips, flash interfaces, Noise, Flash memory, Fingerprint recognition, Thermal noise, Nonvolatile memory, Security, Hardware, security, flash memory, true random number generation, hardware fingerprints, device authentication,"
IEEE Security and Privacy 2012,ReDeBug: Finding Unpatched Code Clones in Entire OS Distributions,"Programmers should never fix the same bug twice. Unfortunately this often happens when patches to buggy code are not propagated to all code clones. Unpatched code clones represent latent bugs, and for security-critical problems, latent vulnerabilities, thus are important to detect quickly. In this paper we present ReDeBug, a system for quickly finding unpatched code clones in OS-distribution scale code bases. While there has been previous work on code clone detection, ReDeBug represents a unique design point that uses a quick, syntax-based approach that scales to OS distribution-sized code bases that include code written in many different languages. Compared to previous approaches, ReDeBug may find fewer code clones, but gains scale, speed, reduces the false detection rate, and is language agnostic. We evaluated ReDeBug by checking all code from all packages in the Debian Lenny/Squeeze, Ubuntu Maverick/Oneiric, all Source Forge C and C++ projects, and the Linux kernel for unpatched code clones. ReDeBug processed over 2.1 billion lines of code at 700,000 LoC/min to build a source code database, then found 15,546 unpatched copies of known vulnerable code in currently deployed code by checking 376 Debian/Ubuntu security-related patches in 8 minutes on a commodity desktop machine. We show the real world impact of ReDeBug by confirming 145 real bugs in the latest version of Debian Squeeze packages.","C++ language, Linux, operating system kernels, program debugging, safety-critical software, software packages, ReDeBug, unpatched code clone, buggy code, latent bug, security-critical problem, OS-distribution scale code bases, code clone detection, syntax-based approach, false detection rate, Debian Lenny/Squeeze, Ubuntu Maverick/Oneiric, Source Forge C, C++ project, Linux kernel, source code database, vulnerable code, Debian/Ubuntu security-related patches, commodity desktop machine, Debian Squeeze package, Cloning, Context, Kernel, Computer bugs, Scalability, Security, Linux, debug, unpatched code clone, scalability,"
IEEE Security and Privacy 2012,Prudent Practices for Designing Malware Experiments: Status Quo and Outlook,"Malware researchers rely on the observation of malicious code in execution to collect datasets for a wide array of experiments, including generation of detection models, study of longitudinal behavior, and validation of prior research. For such research to reflect prudent science, the work needs to address a number of concerns relating to the correct and representative use of the datasets, presentation of methodology in a fashion sufficiently transparent to enable reproducibility, and due consideration of the need not to harm others. In this paper we study the methodological rigor and prudence in 36 academic publications from 2006-2011 that rely on malware execution. 40% of these papers appeared in the 6 highest-ranked academic security conferences. We find frequent shortcomings, including problematic assumptions regarding the use of execution-driven datasets (25% of the papers), absence of description of security precautions taken during experiments (71% of the articles), and oftentimes insufficient description of the experimental setup. Deficiencies occur in top-tier venues and elsewhere alike, highlighting a need for the community to improve its handling of malware datasets. In the hope of aiding authors, reviewers, and readers, we frame guidelines regarding transparency, realism, correctness, and safety for collecting and using malware datasets.","invasive software, prudent practice, malware experiment design, malicious code, detection model, prudent science, security precaution, malware dataset, Malware, Guidelines, Communities, Training, Internet, Safety, malware, dynamic analysis, experiments, datasets,"
IEEE Security and Privacy 2012,Abusing File Processing in Malware Detectors for Fun and Profit,"We systematically describe two classes of evasion exploits against automated malware detectors. Chameleon attacks confuse the detectors' file-type inference heuristics, while werewolf attacks exploit discrepancies in format-specific file parsing between the detectors and actual operating systems and applications. These attacks do not rely on obfuscation, metamorphism, binary packing, or any other changes to malicious code. Because they enable even the simplest, easily detectable viruses to evade detection, we argue that file processing has become the weakest link of malware defense. Using a combination of manual analysis and black-box differential fuzzing, we discovered 45 new evasion exploits and tested them against 36 popular antivirus scanners, all of which proved vulnerable to various chameleon and werewolf attacks.","file organisation, inference mechanisms, invasive software, operating systems (computers), program testing, abusing file processing, automated malware detectors, fun-and-profit, chameleon attacks, file-type inference heuristics, werewolf attacks, format-specific file parsing, operating systems, manual analysis, black-box differential fuzzing, antivirus scanners, file processing, malware defense, Detectors, Malware, Computer viruses, Testing, HTML, Semantics, Linux,"
IEEE Security and Privacy 2012,Dissecting Android Malware: Characterization and Evolution,"The popularity and adoption of smart phones has greatly stimulated the spread of mobile malware, especially on the popular platforms such as Android. In light of their rapid growth, there is a pressing need to develop effective solutions. However, our defense capability is largely constrained by the limited understanding of these emerging mobile malware and the lack of timely access to related samples. In this paper, we focus on the Android platform and aim to systematize or characterize existing Android malware. Particularly, with more than one year effort, we have managed to collect more than 1,200 malware samples that cover the majority of existing Android malware families, ranging from their debut in August 2010 to recent ones in October 2011. In addition, we systematically characterize them from various aspects, including their installation methods, activation mechanisms as well as the nature of carried malicious payloads. The characterization and a subsequent evolution-based study of representative families reveal that they are evolving rapidly to circumvent the detection from existing mobile anti-virus software. Based on the evaluation with four representative mobile security software, our experiments show that the best case detects 79.6% of them while the worst case detects only 20.2% in our dataset. These results clearly call for the need to better develop next-generation anti-mobile-malware solutions.","computer viruses, mobile computing, operating systems (computers), smart phones, smart phones, mobile malware, defense capability, Android platform, Android malware family, installation methods, activation mechanisms, carried malicious payloads, evolution-based study, representative family, mobile antivirus software, representative mobile security software, next-generation antimobile-malware solutions, Malware, Smart phones, Androids, Humanoid robots, Payloads, Mobile communication, Android malware, smartphone security,"
IEEE Security and Privacy 2012,Distance Hijacking Attacks on Distance Bounding Protocols,"After several years of theoretical research on distance bounding protocols, the first implementations of such protocols have recently started to appear. These protocols are typically analyzed with respect to three types of attacks, which are historically known as Distance Fraud, Mafia Fraud, and Terrorist Fraud. We define and analyze a fourth main type of attack on distance bounding protocols, called Distance Hijacking. This type of attack poses a serious threat in many practical scenarios. We show that many proposed distance bounding protocols are vulnerable to Distance Hijacking, and we propose solutions to make these protocols resilient to this type of attack. We show that verifying distance bounding protocols using existing informal and formal frameworks does not guarantee the absence of Distance Hijacking attacks. We extend a formal framework for reasoning about distance bounding protocols to include overshadowing attacks. We use the resulting framework to prove the absence of all of the found attacks for protocols to which our countermeasures have been applied.","protocols, security of data, distance hijacking attack, distance bounding protocol, distance fraud, mafia fraud, terrorist fraud, attack resiliency, formal framework, overshadowing attack, Protocols, Terrorism, Buildings, Upper bound, Resilience, Cryptography, Distance bounding, location verification, position verification, attacks, hijacking, multi-prover environment, formal model, formal verification,"
IEEE Security and Privacy 2012,Don't Trust Satellite Phones: A Security Analysis of Two Satphone Standards,"There is a rich body of work related to the security aspects of cellular mobile phones, in particular with respect to the GSM and UMTS systems. To the best of our knowledge, however, there has been no investigation of the security of satellite phones (abbr. sat phones). Even though a niche market compared to the G2 and G3 mobile systems, there are several 100,000 sat phone subscribers worldwide. Given the sensitive nature of some of their application domains (e.g., natural disaster areas or military campaigns), security plays a particularly important role for sat phones. In this paper, we analyze the encryption systems used in the two existing (and competing) sat phone standards, GMR-1 and GMR-2. The first main contribution is that we were able to completely reverse engineer the encryption algorithms employed. Both ciphers had not been publicly known previously. We describe the details of the recovery of the two algorithms from freely available DSP-firmware updates for sat phones, which included the development of a custom disassembler and tools to analyze the code, and extending prior work on binary analysis to efficiently identify cryptographic code. We note that these steps had to be repeated for both systems, because the available binaries were from two entirely different DSP processors. Perhaps somewhat surprisingly, we found that the GMR-1 cipher can be considered a proprietary variant of the GSM A5/2 algorithm, whereas the GMR-2 cipher is an entirely new design. The second main contribution lies in the cryptanalysis of the two proprietary stream ciphers. We were able to adopt known A5/2 cipher text-only attacks to the GMR-1 algorithm with an average case complexity of 232 steps. With respect to the GMR-2 cipher, we developed a new attack which is powerful in a known-plaintext setting. In this situation, the encryption key for one session, i.e., one phone call, can be recovered with approximately 50-65 bytes of key stream and a moderate computational complexity. A major finding of our work is that the stream ciphers of the two existing satellite phone systems are considerably weaker than what is state-of-the-art in symmetric cryptography.","3G mobile communication, cellular radio, communication complexity, cryptography, digital signal processing chips, mobile handsets, mobile satellite communication, telecommunication security, cellular mobile phones, UMTS systems, satellite phones security, satphone subscribers, satphone standards, encryption algorithms, ciphers, DSP-firmware updates, binary analysis, cryptographic code, DSP processors, GSM A5-2 algorithm, GMR-2 cipher, GMR-1 cipher, A5-2 ciphertext, average case complexity, encryption key, phone call, computational complexity, satphone standards, Satellites, Standards, Digital signal processing, Cryptography, GSM, Algorithm design and analysis, Mobile Security, Satellite Phone Systems, Cryptanalysis, Binary Analysis,"
IEEE Security and Privacy 2012,Memento: Learning Secrets from Process Footprints,"We describe a new side-channel attack. By tracking changes in the application's memory footprint, a concurrent process belonging to a different user can learn its secrets. Using Web browsers as the target, we show how an unprivileged, local attack process - for example, a malicious Android app - can infer which page the user is browsing, as well as finer-grained information: whether she is a paid customer, her interests, etc. This attack is an instance of a broader problem. Many isolation mechanisms in modern systems reveal accounting information about program execution, such as memory usage and CPU scheduling statistics. If temporal changes in this public information are correlated with the program's secrets, they can lead to a privacy breach. To illustrate the pervasiveness of this problem, we show how to exploit scheduling statistics for keystroke sniffing in Linux and Android, and how to combine scheduling statistics with the dynamics of memory usage for more accurate adversarial inference of browsing behavior.","concurrency control, data privacy, inference mechanisms, Internet, Linux, online front-ends, program compilers, statistics, storage management, Memento, process footprints, side-channel attack, memory footprint, concurrent process, secrets learning, Web browsers, unprivileged local attack process, malicious Android app, Web page, Web browsing, finer-grained information, isolation mechanisms, program execution, accounting information, temporal changes, public information, privacy breach, keystroke sniffing, Linux, scheduling statistics, memory usage dynamics, browsing behavior inference, Browsers, Resource management, Memory management, Databases, Smart phones, Fires, Rendering (computer graphics),"
